date,gld,slv,gld_idx,slv_idx
2023-11-03,184.79,21.22,108.02642347714252,96.23582766439908
2023-11-06,183.35,21.08,107.18461358587629,95.60090702947845
2023-11-07,182.59,20.73,106.74032503215247,94.01360544217687
2023-11-08,180.77,20.65,105.67637086402432,93.65079365079364
2023-11-09,181.49,20.69,106.09727580965745,93.83219954648526
2023-11-10,179.51,20.34,104.93978720916637,92.24489795918367
2023-11-13,180.51,20.43,105.52437741143457,92.65306122448979
2023-11-14,182.12,21.17,106.46556763708641,96.00907029478458
2023-11-15,181.64,21.45,106.18496433999765,97.27891156462584
2023-11-16,183.69,21.76,107.38337425464748,98.68480725623583
2023-11-17,183.67,21.75,107.37168245060211,98.63945578231292
2023-11-20,183.37,21.48,107.19630538992166,97.41496598639455
2023-11-21,185.35,21.77,108.35379399041271,98.73015873015872
2023-11-22,184.56,21.67,107.89196773062085,98.27664399092971
2023-11-24,185.52,22.27,108.45317432479833,100.99773242630386
2023-11-27,186.77,22.56,109.18391207763358,102.31292517006803
2023-11-28,189.26,22.92,110.6395416812814,103.94557823129252
2023-11-29,189.54,22.88,110.8032269379165,103.76417233560089
2023-11-30,188.75,23.13,110.34140067812463,104.89795918367346
2023-12-01,192.01,23.33,112.24716473751899,105.8049886621315
2023-12-04,187.86,22.46,109.82111539810593,101.85941043083899
2023-12-05,187.15,22.12,109.40605635449549,100.31746031746032
2023-12-06,187.84,21.93,109.80942359406056,99.45578231292517
2023-12-07,188.15,21.79,109.99064655676372,98.82086167800452
2023-12-08,185.64,21.1,108.52332514907049,95.69160997732426
2023-12-11,183.59,20.91,107.32491523442067,94.82993197278911
2023-12-12,183.49,20.84,107.26645621419387,94.5124716553288
2023-12-13,187.63,21.77,109.68665965158424,98.73015873015872
2023-12-14,188.73,22.15,110.32970887407927,100.453514739229
2023-12-15,187.0,21.83,109.31836782415527,99.00226757369613
2023-12-18,187.85,21.8,109.81526949608325,98.86621315192744
2023-12-19,189.13,22.03,110.56354495498655,99.9092970521542
2023-12-20,188.1,22.04,109.9614170466503,99.9546485260771
2023-12-21,189.43,22.31,110.73892201566701,101.17913832199545
2023-12-22,190.27,22.12,111.22997778557232,100.31746031746032
2023-12-26,191.72,22.2,112.07763357886122,100.68027210884354
2023-12-27,192.59,22.23,112.58622705483457,100.81632653061223
2023-12-28,191.47,21.99,111.93148602829417,99.72789115646258
2023-12-29,191.17,21.78,111.7561089676137,98.77551020408164
2024-01-02,190.72,21.65,111.49304337659301,98.18594104308389
2024-01-03,189.13,21.06,110.56354495498655,95.51020408163265
2024-01-04,189.32,21.08,110.67461709341751,95.60090702947845
2024-01-05,189.35,21.21,110.69215479948555,96.19047619047619
2024-01-08,187.87,21.13,109.82696130012862,95.82766439909295
2024-01-09,187.93,21.0,109.86203671226471,95.23809523809523
2024-01-10,187.5,20.94,109.61066292528938,94.96598639455782
2024-01-11,187.87,20.82,109.82696130012862,94.42176870748298
