date,qqq,btc,qqq_idx,btc_idx,qqq_ret,btc_ret,corr90
2021-06-22,347.57,32366.97,109.68159298179178,64.1153112608059,0.009321640144035248,0.024064121210932488,
2021-06-23,347.74,33646.15,109.73523935750578,66.64922233924783,0.0004891101073165594,0.03952115381822896,
2021-06-24,349.89,34580.351177,110.4137082268295,68.49976933958693,0.00618278023810892,0.027765470254397462,
2021-06-25,349.46,31708.50892795,110.27801445296474,62.81097425960962,-0.0012289576724113793,-0.08304838300659334,
2021-06-28,353.71,34439.12,111.61917384581402,68.22000633201827,0.012161620786356186,0.08611603523378109,
2021-06-29,354.99,35840.38646848,112.0230994982486,70.99575691311763,0.003618783749399279,0.040688219341260545,
2021-06-30,354.43,35060.42896638,111.84638202530847,69.45074920874053,-0.0015775092256119505,-0.02176197242699751,
2021-07-01,354.57,33628.67,111.89056139354349,66.6145964338622,0.00039500042321471973,-0.04083689243371602,
2021-07-02,358.64,33846.00708715,113.17491874151915,67.04511665219403,0.01147869250077549,0.006462851107403411,
2021-07-06,360.19,34106.80638065,113.66404746126418,67.56173059163137,0.00432188266785638,0.00770546708296993,
2021-07-07,360.95,33867.46512423,113.90387831739721,67.0876225996593,0.0021099975013187944,-0.007017404495420099,
2021-07-08,358.77,32837.96027303,113.21594244059452,65.04828978663424,-0.006039617675578368,-0.030398048611658735,
2021-07-09,361.01,33866.19638188,113.92281233235508,67.08510936438643,0.00624355436630708,0.031312423192572325,
2021-07-12,362.42,33219.35200045,114.36776168386507,65.8037837150381,0.0039057089831306957,-0.019100000901668746,
2021-07-13,362.42,32567.57251463,114.36776168386507,64.51268218138334,0.0,-0.019620475613466914,
2021-07-14,363.07,32776.13963032,114.572880179242,64.92583007694579,0.0017934992550079354,0.006404134529716998,
2021-07-15,360.52,31641.44704569,113.76818454353246,62.67813224644511,-0.007023439006252241,-0.03461947006048072,
2021-07-16,357.6,31385.55,112.84672914891604,62.1712291061408,-0.008099411960501346,-0.00808740021657317,
2021-07-19,354.67,30851.95,111.92211808513997,61.11422778384323,-0.008193512304250583,-0.017001454490999768,
2021-07-20,358.79,29759.93,113.22225377891384,58.951059523019765,0.011616432176389413,-0.03539549363978611,
2021-07-21,361.56,32142.94,114.09637413613558,63.671533138177836,0.007720393544970561,0.08007444909984662,
2021-07-22,363.95,32338.55,114.85057906529079,64.05901445124873,0.006610244496072504,0.00608562875704588,
2021-07-23,368.2,33506.09381526,116.19173845814007,66.37178685861413,0.011677428218161756,0.036103777542901616,
2021-07-26,368.49,37211.42,116.28325286376977,73.71161946133905,0.0007876154263988244,0.11058663552874215,
