type,lookback,n_long,n_short,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_weeks,key
hybrid,8,8,5,0.10764114649387624,0.025762129568728698,0.24255838994771844,0.10621001225429276,-0.45716166278181614,0.05635234024648272,209,hybrid_lb8_L8_S5
momentum,4,5,8,0.09384793462165542,0.02256903755684725,0.22695262509380817,0.09944382686703274,-0.28728656860790225,0.0785593202850015,209,momentum_lb4_L5_S8
momentum,13,10,3,0.11764887500485322,0.02806024362756987,0.29540341840195244,0.09498956978686204,-0.3875576777009808,0.07240275510480193,209,momentum_lb13_L10_S3
hybrid,26,5,3,0.09997492938448715,0.023991132477326094,0.328191623189154,0.07310098973336303,-0.4729264521346338,0.050729098296443446,209,hybrid_lb26_L5_S3
mean_reversion,2,3,8,0.06848491241224663,0.016617746279169454,0.2322435489397294,0.07155310171169492,-0.36675675200259583,0.04530999412671164,209,mean_reversion_lb2_L3_S8
mean_reversion,2,10,8,0.04980495630208681,0.012166373990510237,0.17454615105692406,0.06970290617604318,-0.22423723919910032,0.05425670612947437,209,mean_reversion_lb2_L10_S8
momentum,8,3,3,0.09945781841585255,0.0238713396223873,0.34749638054831417,0.06869521801844594,-0.5046098724891006,0.04730652514711335,209,momentum_lb8_L3_S3
hybrid,13,5,5,0.07568947920859048,0.01831895367652092,0.2689559524733669,0.06811135246517713,-0.45139573248670606,0.040582912859195956,209,hybrid_lb13_L5_S5
momentum,4,10,5,0.049117312629873844,0.012001379033831805,0.22410284177031595,0.05355299798532709,-0.30292901038802356,0.03961779368195594,209,momentum_lb4_L10_S5
mean_reversion,2,5,5,0.020109406715029365,0.0049659447417464975,0.23580679453054582,0.021059379360263607,-0.3586031954065628,0.013848021449213264,209,mean_reversion_lb2_L5_S5
momentum,8,5,3,0.018834071817199316,0.004653200064525187,0.31524889597896816,0.014760400825751425,-0.4661671760514349,0.009981826914411008,209,momentum_lb8_L5_S3
hybrid,8,10,8,0.010232212332785595,0.002536087556391564,0.20486457413972076,0.012379336774262952,-0.43057325360413057,0.00589002576254596,209,hybrid_lb8_L10_S8
hybrid,26,3,3,0.016479090468379365,0.004074924780765432,0.35995581379056757,0.011320624989644807,-0.45686617881964964,0.008919296217753142,209,hybrid_lb26_L3_S3
momentum,4,8,8,0.008014256747548743,0.0019880035294572718,0.2129315769485142,0.009336349065493283,-0.3683285258685334,0.0053973650961990525,209,momentum_lb4_L8_S8
